Empresa Destinataria (ED),Entidade Veiculo (EV),Investimento Total na ED,Financiamento FINOVA
"Videobserver, S.A.","IA - FCI Ciencias da Vida SGPS, SA","190,000.00","123,500.00"
"Increase Time, S.A.","Indextalent, Lda","100,000.00","65,000.00"
"Equigerminal, S.A.","A2B SGPS, SA","36,724.00","23,870.60"
Bsim2 - Biomolecular Simulations Lda,"A2B SGPS, SA","60,000.00","39,000.00"
Sword Health Lda,"BrainCapital SGPS, SA","150,000.00","97,500.00"
"Cloud9Im, Lda","Brains2Market Participacoes SGPS, Lda","50,000.00","32,500.00"
"Epc - Energy Performance Certification, Lda","Eggnest SGPS, SA","33,800.00","21,970.00"
"Global Inpakt, SA","PNV Capital SGPS, SA","22,727.00","14,772.55"
Key Energy Target Lda,"Green Capital SGPS, SA","190,000.00","123,500.00"
"Faber Ventures, S.A.","Shilling Capital Partners, Lda.","100,000.00","65,000.00"
"O2W, S.A.","Yellow Swan SGPS, SA","168,980.00","109,837.00"
"Xhockware, S.A.","PNV Capital SGPS, SA","51,000.00","33,150.00"
Orizonvision Lda,"Smart Equity SGPS, SA","40,000.00","26,000.00"
"Cloud9Im, Lda","Brains2Market Participacoes SGPS, Lda","50,000.00","32,500.00"
"Latitude N, Lda","Brains2Market Participacoes SGPS, Lda","23,333.34","15,166.67"
"Tuizzi, S.A.","IA - FCI TICE SGPS, SA","77,961.00","50,674.65"
"Reusepic - Innovative Productions, Lda","IA - FCI TICE SGPS, SA","53,000.00","34,450.00"
Scalesoceans - Lda,"Momentum SGPS, SA","79,800.00","51,870.00"
"Bad Behavior One, Lda","IA - FCI TICE SGPS, SA","55,055.00","35,785.75"
"Metablue Solution, Lda","Green Capital SGPS, SA","130,000.00","84,500.00"
"Jump4Better - Innovative Management Systems, Lda","Indextalent, Lda","67,300.00","43,745.00"
"Magnomics, S.A.","PNV Capital SGPS, SA","54,400.00","35,360.00"
"Feel-I.P.A-Improving Peoples'S Acessibility, Lda","BrainInvest SGPS, Lda","25,000.00","16,250.00"
"Cloud9Im, Lda","Smart Equity SGPS, SA","134,444.44","87,388.89"
Orizonvision Lda,"Smart Equity SGPS, SA","42,285.72","27,485.72"
"Bepetly, Lda","Eggnest SGPS, SA","45,000.00","29,250.00"
"Zeyton Nutraceuticals, Lda","Shilling Capital Partners, Lda.","16,500.00","10,147.50"
Narrativas & Relevos - Lda,"Momentum SGPS, SA","40,000.00","26,000.00"
"O2W, S.A.","Yellow Swan SGPS, SA","328,020.00","213,213.00"
"Whale, S.A.","New Ventures SGPS, SA","150,000.00","97,500.00"
"Changing Experience, Lda","Smart Equity SGPS, SA","150,000.00","97,500.00"
"Commop, S.A.","BrainCapital SGPS, SA","170,000.00","110,000.00"
"Whale, S.A.","GalaxyBoard SGPS, SA","150,000.00","97,500.00"
Key Energy Target Lda,"Green Capital SGPS, SA","110,000.00","71,500.00"
"Witemix, Lda","Berco de Ideias SGPS, SA","425,000.00","276,250.00"
"Ioncp, Lda","Berco de Ideias SGPS, SA","344,230.00","223,749.50"
Webankor Lda,"PNV Capital SGPS, SA","50,000.00","32,500.00"
"Epc - Energy Performance Certification, Lda","Eggnest SGPS, SA","25,000.00","16,250.00"
"Plizz Solutions, Lda","Eggnest SGPS, SA","50,000.00","32,500.00"
"Ciberesult, Lda","Civil Risco SGPS, SA","182,265.00","118,472.25"
"Convergetarget, Lda","Tic Risco SGPS, SA","150,000.00","97,500.00"
Maniapositiva Solucoes De Embalagem Lda,"Fourwings Fund SGPS, SA","120,000.00","75,000.00"
Gumelo Lda,"Tagus Innovation for Growth SGPS, SA","90,000.00","58,500.00"
"Follow Inspiration, Lda","Tic Risco SGPS, SA","150,000.00","82,459.23"
"5Ensesinfood, S.A.","IA - FCI Ciencias da Vida SGPS, SA","24,000.00","15,600.00"
"Biomode 2, S.A.","IA - FCI Ciencias da Vida SGPS, SA","86,785.98","56,410.89"
"Xhockware, S.A.","PNV Capital SGPS, SA","54,000.00","35,100.00"
"Ihcare - Innovation Hospital Care, Lda","A2B SGPS, SA","71,096.77","46,212.90"
"Targetalent, Lda","Creative Wings SGPS, SA","58,000.00","37,700.00"
"Takeportugal, Lda","Smart Ventures Business Angels SGPS, SA","50,000.00","31,760.00"
"Metablue Solution, Lda","Smart Ventures Business Angels SGPS, SA","100,000.00","63,520.00"
"Timeless Landscape, Lda","Embrace II, Lda","200,000.00","129,500.00"
"Whale, S.A.","GalaxyBoard SGPS, SA","150,000.00","97,500.00"
"Equigerminal, S.A.","A2B SGPS, SA","70,000.00","45,500.00"
Globalproud Lda,"Green Swan SGPS, SA","110,000.00","71,500.00"
"Tuizzi, S.A.","IA - FCI TICE SGPS, SA","81,708.95","53,110.85"
"Whale, S.A.","New Ventures SGPS, SA","150,000.00","97,500.00"
"Faber Ventures, S.A.","Sail Away, Lda","199,999.50","129,999.68"
"Dobiztoo, Lda","Idea Capital SGPS, SA","256,000.00","166,400.00"
Globalproud Lda,"GalaxyBoard SGPS, SA","50,000.00","32,500.00"
"Faber Ventures, S.A.","PNV Capital SGPS, SA","37,500.00","24,375.00"
"Faber Ventures, S.A.","Tagus Innovation for Growth SGPS, SA","75,000.00","48,750.00"
Orizonvision Lda,"Smart Equity SGPS, SA","37,500.00","24,375.00"
Binary Subject - Lda,"Sail Away, Lda","250,000.00","162,500.00"
"Biomode 2, S.A.","IA - FCI Ciencias da Vida SGPS, SA","16,897.36","10,983.28"
"Findster Technologies, S.A.","New Ventures SGPS, SA","75,000.00","48,750.00"
Sword Health Lda,"New Ventures SGPS, SA","125,000.00","81,250.00"
"Magnomics, S.A.","PNV Capital SGPS, SA","17,000.00","11,050.00"
"Ph Energia, Lda","Green Capital SGPS, SA","80,000.00","52,000.00"
"Metablue Solution, Lda","Green Capital SGPS, SA","20,000.00","13,000.00"
"Findster Technologies, S.A.","BrainInvest SGPS, Lda","75,000.00","48,750.00"
"5Ensesinfood, S.A.","BrainInvest SGPS, Lda","12,000.00","7,800.00"
Sword Health Lda,"BrainInvest SGPS, Lda","125,000.00","81,250.00"
Vintage Experiences S.A.,"Fourwings Fund SGPS, SA","40,000.00","25,000.00"
"Targetalent, Lda","Green Capital SGPS, SA","58,000.00","37,700.00"
"Ph Energia, Lda","Creative Wings SGPS, SA","20,000.00","13,000.00"
"Interactive Touch, Lda","Civil Risco SGPS, SA","100,000.00","65,000.00"
"Metablue Solution, Lda","Smart Ventures Business Angels SGPS, SA","37,195.00","23,601.67"
"Softwizard, Lda","GalaxyBoard SGPS, SA","50,000.00","32,500.00"
"Ribarent, Lda","Lisbon Angels SGPS, SA","346,154.00","225,000.10"
"Palavra Surpresa, Unipessoal Lda","Sail Away, Lda","175,000.00","113,750.00"
"Sala Azul, Lda","Lisbon Angels SGPS, SA","346,154.00","225,000.00"
"Aposta Esperada, Lda","Blue Early Investments SGPS, SA","692,308.00","450,000.00"
